n_models,rms_train,rms_test,rms_all,rms_h0_all,rms_h0_test,rms_indiv_train,rms_indiv_test,rms_indiv_all,rms_indiv_h0_test,rms_indiv_h0_all,delta_rms_train,delta_rms_test,delta_rms_all,delta_rms_h0_test,delta_rms_h0_all,midpoint_h_0.0,midpoint_h_0.2,midpoint_h_0.4,midpoint_h_0.6,midpoint_h_0.8,midpoint_h_1.0
2,0.03636390505294075,0.45011028618915283,0.4212358635200216,0.255596322946942,0.2732193287097588,,,,,,,,,,,9.030607341915081,8.762983737843644,8.763042118244126,8.747056240683433,8.504812168048636,8.463176862200395
3,0.04534172146699388,0.3386822584201964,0.3059147505135859,0.24377646474174783,0.270397774284371,0.03345085646123282,0.33185177911890884,0.29947764131389837,0.2834240578467579,0.25548686473755106,0.011890865005761066,0.006830479301287551,0.006437109199687541,-0.013026283562386887,-0.011710399995803228,1.7869613324054865,10.06545009394281,2.712963816372084,0.8810595424468726,0.9188434329242561,4.600782957732819
4,0.04741171341460646,0.13181339720765414,0.11658922079160793,0.06751261779988675,0.07503047592695712,0.03500539171423756,0.19228034066381994,0.16743697744707647,0.5381928339107473,0.4661364277562762,0.0124063217003689,-0.060466943456165795,-0.05084775665546855,-0.46316235798379024,-0.3986238099563894,0.0839512359102974,0.1407330476595492,0.5544303610989123,1.0192050218261417,0.6715171006657727,22.61695166494834
5,0.05407676273196992,0.10528359233474652,0.09238251468143502,0.11439364273893579,0.1360869913443729,0.041365858854957936,0.12706423403609526,0.10786397298131367,0.3731507078662261,0.3095919943994744,0.012710903877011986,-0.021780641701348746,-0.015481458299878653,-0.2370637165218532,-0.1951983516605386,0.39208625109872686,0.495931883210605,0.30657047364448786,0.14716391595336514,0.5146581493372624,4.409797587279778
6,0.057584460232320424,0.22554499726880028,0.18176242706678228,0.27254133517260093,0.3434162370777184,0.047723482299617107,0.1884738107619359,0.15184057387768418,0.3863320652431301,0.3056166619575527,0.009860977932703317,0.03707118650686439,0.029921853189098097,-0.042915828165411674,-0.033075326784951786,0.9947177198141448,1.1404539082313587,1.0123750538962946,0.9502243833312011,1.4878950666374913,5.500651201514579
7,0.06456252528116259,0.06496501928495672,0.06478923583002547,0.05222701917999477,0.04174553145689135,0.05379710823723052,0.043575955038424,0.0483145143179141,0.09867620600186676,0.08018526253306683,0.010765417043932066,0.021389064246532724,0.016474721512111365,-0.05693067454497541,-0.027958243353072065,0.214427197961355,0.4775564840819444,0.44755110852612257,0.3688184970349532,0.32768756089770434,0.6268960817714779
8,0.0629029540468557,0.04725921214690541,0.05563368925645257,0.06870270474783441,0.07260690572413878,0.05143572026837378,0.04067720029461555,0.046369537108616195,0.04080881608983173,0.04410201909224286,0.011467233778481918,0.006582011852289862,0.009264152147836373,0.031798089634307046,0.02460068565559155,0.0675287025241591,0.3737504501785778,0.37290370314253973,0.2809962950220368,0.10260207798980048,1.3942050079863537
9,0.06128128708432623,0.053734211113253716,0.05810019547522545,0.08447621793888936,0.10397706881998742,0.04900311663214714,0.05078522098078846,0.049790636448688176,0.05109918627311937,0.04769216178839875,0.01227817045217909,0.0029489901324652526,0.008309559026537273,0.052877882546868045,0.03678405615049061,0.031106516390313477,0.34360068636780183,0.3429022310853007,0.23699211910394835,0.010795885310456832,1.6224732722716566
10,0.05959917405822427,0.050015231300597714,0.0561970615649402,0.07354117690813784,0.08638173055251938,0.04704400544742342,0.04516827970625747,0.046349504740550024,0.04934309921465714,0.045365332314443486,0.012555168610800853,0.004846951594340246,0.009847556824390175,0.03703863133786224,0.028175844593694356,0.058004582946280525,0.3572048759293118,0.349339754256599,0.25178140074667155,0.07311974823666567,1.4055670817192918
11,0.05831426179677805,0.04930322540042749,0.055655258395075326,0.06270820554535579,0.056766936379418126,0.04600171309542853,0.040155668052744335,0.044257853871280776,0.04824992682125878,0.04428245470827337,0.01231254870134952,0.009147557347683154,0.01139740452379455,0.008517009558159344,0.018425750837082422,0.07084599218641952,0.35804666939968,0.34599325108043066,0.2643570182633193,0.15461010116300078,1.0990931530410055
