n_models,rms_train,rms_test,rms_all,rms_h0_all,rms_h0_test,rms_indiv_train,rms_indiv_test,rms_indiv_all,rms_indiv_h0_test,rms_indiv_h0_all,delta_rms_train,delta_rms_test,delta_rms_all,delta_rms_h0_test,delta_rms_h0_all,midpoint_h_0.0,midpoint_h_0.2,midpoint_h_0.4,midpoint_h_0.6,midpoint_h_0.8,midpoint_h_1.0
2,0.0363639050287198,0.47222474353985305,0.44191285799180724,0.2556003648748152,0.27322364868216376,,,,,,,,,,,77.09561958255506,76.94889767049035,77.25989343242452,77.57627993385564,77.61537039174365,77.5828809485613
3,0.03317216938935,0.14756270520699666,0.13378456423717158,0.19160237035486594,0.21248681199917047,0.00686502128610886,0.15407231806299598,0.13891072111808478,0.28059909514985315,0.2529672106684931,0.026307148103241137,-0.006509612855999325,-0.005126156880913196,-0.06811228315068268,-0.061364840313627156,1.4109914616136938,1.5038706135916007,1.1275128515463115,0.736472975803431,0.6420580596531422,0.8769177182204171
4,0.034997616555655836,0.27308081002637397,0.23714142382687928,0.3596946997468912,0.4147768895449198,0.013174107541878515,0.19146974674019604,0.1659484474616962,0.5127097700676536,0.4440532883732575,0.02182350901377732,0.08161106328617793,0.07119297636518307,-0.0979328805227338,-0.0843585886263663,3.571954251624151,3.5336991683292185,3.0045872276280465,2.4741793289476055,2.5304633946457384,7.165898474276451
5,0.04072757485055542,0.29916412463364817,0.24909644027364491,0.37031959208886434,0.445984370430229,0.021646696373790617,0.2500576806113928,0.20768969902232423,0.45754479295339934,0.3796666274914523,0.019080878476764804,0.04910644402225539,0.04140674125132068,-0.011560422523170355,-0.009347035402587967,3.8492292398958856,3.8777052280699076,3.434725069169157,3.0068976794999966,3.0847907708175537,5.350346180205051
6,0.04118523965709518,0.2622848935150279,0.20888259224016992,0.2982518666607854,0.3758438409070782,0.022401295829475167,0.21737385411784554,0.17239577156747168,0.4018320163734815,0.3180965123916498,0.018783943827620015,0.04491103939718233,0.036486820672698234,-0.025988175466403307,-0.01984464573086442,2.5151135130711695,2.652312837527868,2.31777993395421,1.9437649564744062,1.7490719431042854,1.2464207252270851
7,0.043594788870627024,0.14161879715160086,0.11005864705826113,0.1270348209676165,0.1636878998161215,0.02449749485071507,0.11475310678751902,0.08757688423401724,0.20868491253976282,0.1574128429433564,0.019097294019911955,0.026865690364081846,0.022481762824243884,-0.044997012723641316,-0.030378021975739883,1.2332630189917038,1.4451967611214789,1.1605533717298937,0.7597308637072024,0.30745930310282055,1.2460188599938835
8,0.046150405701756846,0.10446638988454725,0.08075607271885807,0.07909895268397991,0.09765513492088834,0.028059507109236024,0.07849832873667023,0.058946261771479685,0.14178336237130976,0.10278994704133203,0.01809089859252082,0.025968061147877017,0.021809810947378383,-0.044128227450421414,-0.023690994357352113,1.0505460787406495,1.2815822447648566,1.0044912968636162,0.5849725015265794,0.053728005694337444,1.7267133634351293
9,0.047851029569655215,0.0766130712675323,0.06209590772606922,0.05672119457223913,0.055121243287818346,0.029904575781771848,0.053999916946930876,0.042175592827870874,0.10056845101107416,0.07084210385227478,0.017946453787883367,0.02261315432060143,0.019920314898198344,-0.04544720772325581,-0.014120909280035655,0.966136138042043,1.1955880317934249,0.90988728199228,0.4684169020548322,0.11127509968185145,1.9967294228488828
10,0.046952743420600726,0.08237415806326558,0.06262917283852171,0.058695650450842574,0.06029649327606354,0.02860740524468156,0.05980016078158082,0.043040817636686345,0.10251311194541315,0.06735666264750548,0.018345338175919167,0.022573997281684757,0.019588355201835363,-0.042216618669349615,-0.008661012196662904,0.9831609788721754,1.195911250140234,0.8990929894874863,0.45948040150861047,0.08895805503451726,1.8740214713913752
11,0.04826350116727009,0.05736122354856861,0.05128021720721001,0.05211598373984224,0.016034203400633305,0.02998638076754315,0.03837810300396684,0.03283995974591429,0.05269822176683891,0.04077361950230269,0.018277120399726936,0.018983120544601773,0.01844025746129572,-0.0366640183662056,0.011342364237539551,0.92735945075174,1.1652363316980152,0.8742304239036353,0.4013382888586358,0.26064439892304714,2.332570617804856
12,0.04899920250872361,0.04097978655607765,0.047122469283915926,0.05884158339682875,0.03896370614669551,0.03079650123088277,0.02425299245507398,0.02929795687081766,0.023945604321513044,0.032374432500334865,0.01820270127784084,0.016726794101003674,0.017824512413098265,0.015018101825182466,0.026467150896493888,0.8928839232026611,1.1377240148398062,0.8452521278941435,0.3556420262098649,0.35106691372878895,2.5209944286705706
13,0.04868088966899294,0.03041016561286357,0.04581355678477305,0.0648173066205656,0.0656850749846315,0.03066723904205397,0.018306181947374846,0.02875715459725133,0.011622752602975536,0.03087738219504912,0.018013650626938972,0.012103983665488722,0.017056402187521722,0.05406232238165596,0.03393992442551648,0.8645653066643626,1.100968384751279,0.8006534669762052,0.3048608498272648,0.4042663865480718,2.5685401215319534
14,0.04764128061181545,0.029481451141333596,0.045767069615793396,0.06163642194460428,0.045776214366251025,0.029917906931908392,0.012688288610777417,0.028342902008648276,0.010895785845901352,0.030853767636313693,0.017723373679907055,0.01679316253055618,0.01742416760714512,0.03488042852034967,0.030782654308290587,0.8701913179620244,1.09424841169572,0.7889388579991022,0.3021470968801698,0.3712537457137599,2.4472128062032055
15,0.04677738057565908,0.025024397178458137,0.04572203411440835,0.06260894044680014,0.05807252512230687,0.02900232802150546,0.015525030545506023,0.028348337730636768,0.009390881381597493,0.030854225864483366,0.017775052554153622,0.009499366632952115,0.017373696383771585,0.04868164374070938,0.031754714582316775,0.8713242224029765,1.0938318085413297,0.7863122187719839,0.29626879134167367,0.38211135001444885,2.4661070444939206
16,0.04571404127133172,,0.04571404127133172,0.0619734590242194,,0.028317252591946514,,0.028317252591946514,,0.030834411002069063,0.017396788679385204,,0.017396788679385204,,0.031139048022150336,0.8714135191669117,1.0886995674438134,0.7787562747934064,0.2918631251152118,0.3722580683754566,2.419101764244356
